session_key,session_type,session_name,date_start,date_end,meeting_key,circuit_key,circuit_short_name,country_key,country_code,country_name,location,gmt_offset,year,is_cancelled,season
9141,Race,Race,2023-07-30T13:00:00+00:00,2023-07-30T15:00:00+00:00,1216,7,Spa-Francorchamps,16,BEL,Belgium,Spa-Francorchamps,02:00:00,2023,False,2023
9149,Race,Race,2023-08-27T13:00:00+00:00,2023-08-27T15:00:00+00:00,1217,55,Zandvoort,133,NED,Netherlands,Zandvoort,02:00:00,2023,False,2023
9157,Race,Race,2023-09-03T13:00:00+00:00,2023-09-03T15:00:00+00:00,1218,39,Monza,13,ITA,Italy,Monza,02:00:00,2023,False,2023
9165,Race,Race,2023-09-17T12:00:00+00:00,2023-09-17T14:00:00+00:00,1219,61,Singapore,157,SGP,Singapore,Marina Bay,08:00:00,2023,False,2023
9173,Race,Race,2023-09-24T05:00:00+00:00,2023-09-24T07:00:00+00:00,1220,46,Suzuka,4,JPN,Japan,Suzuka,09:00:00,2023,False,2023
9221,Race,Race,2023-10-08T17:00:00+00:00,2023-10-08T19:00:00+00:00,1221,150,Lusail,149,QAT,Qatar,Lusail,03:00:00,2023,False,2023
9213,Race,Race,2023-10-22T19:00:00+00:00,2023-10-22T21:00:00+00:00,1222,9,Austin,19,USA,United States,Austin,-05:00:00,2023,False,2023
9181,Race,Race,2023-10-29T20:00:00+00:00,2023-10-29T22:00:00+00:00,1223,65,Mexico City,8,MEX,Mexico,Mexico City,-06:00:00,2023,False,2023
9205,Race,Race,2023-11-05T17:00:00+00:00,2023-11-05T19:00:00+00:00,1224,14,Interlagos,10,BRA,Brazil,São Paulo,-03:00:00,2023,False,2023
9189,Race,Race,2023-11-19T06:00:00+00:00,2023-11-19T07:59:59+00:00,1225,152,Las Vegas,19,USA,United States,Las Vegas,-08:00:00,2023,False,2023
9197,Race,Race,2023-11-26T13:00:00+00:00,2023-11-26T15:00:00+00:00,1226,70,Yas Marina Circuit,21,UAE,United Arab Emirates,Yas Island,04:00:00,2023,False,2023
9472,Race,Race,2024-03-02T15:00:00+00:00,2024-03-02T17:00:00+00:00,1229,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2024,False,2024
9480,Race,Race,2024-03-09T17:00:00+00:00,2024-03-09T19:00:00+00:00,1230,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2024,False,2024
9488,Race,Race,2024-03-24T04:00:00+00:00,2024-03-24T06:00:00+00:00,1231,10,Melbourne,5,AUS,Australia,Melbourne,11:00:00,2024,False,2024
9496,Race,Race,2024-04-07T05:00:00+00:00,2024-04-07T07:00:00+00:00,1232,46,Suzuka,4,JPN,Japan,Suzuka,09:00:00,2024,False,2024
9673,Race,Race,2024-04-21T07:00:00+00:00,2024-04-21T09:00:00+00:00,1233,49,Shanghai,53,CHN,China,Shanghai,08:00:00,2024,False,2024
9507,Race,Race,2024-05-05T20:00:00+00:00,2024-05-05T22:00:00+00:00,1234,151,Miami,19,USA,United States,Miami,-04:00:00,2024,False,2024
9515,Race,Race,2024-05-19T13:00:00+00:00,2024-05-19T15:00:00+00:00,1235,6,Imola,13,ITA,Italy,Imola,02:00:00,2024,False,2024
9523,Race,Race,2024-05-26T13:00:00+00:00,2024-05-26T15:00:00+00:00,1236,22,Monte Carlo,114,MON,Monaco,Monaco,02:00:00,2024,False,2024
9531,Race,Race,2024-06-09T18:00:00+00:00,2024-06-09T20:00:00+00:00,1237,23,Montreal,46,CAN,Canada,Montréal,-04:00:00,2024,False,2024
9539,Race,Race,2024-06-23T13:00:00+00:00,2024-06-23T15:00:00+00:00,1238,15,Catalunya,1,ESP,Spain,Barcelona,02:00:00,2024,False,2024
9550,Race,Race,2024-06-30T13:00:00+00:00,2024-06-30T15:00:00+00:00,1239,19,Spielberg,17,AUT,Austria,Spielberg,02:00:00,2024,False,2024
9558,Race,Race,2024-07-07T14:00:00+00:00,2024-07-07T16:00:00+00:00,1240,2,Silverstone,2,GBR,United Kingdom,Silverstone,01:00:00,2024,False,2024
9566,Race,Race,2024-07-21T13:00:00+00:00,2024-07-21T15:00:00+00:00,1241,4,Hungaroring,14,HUN,Hungary,Budapest,02:00:00,2024,False,2024
9574,Race,Race,2024-07-28T13:00:00+00:00,2024-07-28T15:00:00+00:00,1242,7,Spa-Francorchamps,16,BEL,Belgium,Spa-Francorchamps,02:00:00,2024,False,2024
9582,Race,Race,2024-08-25T13:00:00+00:00,2024-08-25T15:00:00+00:00,1243,55,Zandvoort,133,NED,Netherlands,Zandvoort,02:00:00,2024,False,2024
9590,Race,Race,2024-09-01T13:00:00+00:00,2024-09-01T15:00:00+00:00,1244,39,Monza,13,ITA,Italy,Monza,02:00:00,2024,False,2024
9598,Race,Race,2024-09-15T11:00:00+00:00,2024-09-15T13:00:00+00:00,1245,144,Baku,30,AZE,Azerbaijan,Baku,04:00:00,2024,False,2024
9606,Race,Race,2024-09-22T12:00:00+00:00,2024-09-22T14:00:00+00:00,1246,61,Singapore,157,SGP,Singapore,Marina Bay,08:00:00,2024,False,2024
9617,Race,Race,2024-10-20T19:00:00+00:00,2024-10-20T21:00:00+00:00,1247,9,Austin,19,USA,United States,Austin,-05:00:00,2024,False,2024
9625,Race,Race,2024-10-27T20:00:00+00:00,2024-10-27T22:00:00+00:00,1248,65,Mexico City,8,MEX,Mexico,Mexico City,-06:00:00,2024,False,2024
9636,Race,Race,2024-11-03T15:30:00+00:00,2024-11-03T17:30:00+00:00,1249,14,Interlagos,10,BRA,Brazil,São Paulo,-03:00:00,2024,False,2024
9644,Race,Race,2024-11-24T06:00:00+00:00,2024-11-24T07:59:59+00:00,1250,152,Las Vegas,19,USA,United States,Las Vegas,-08:00:00,2024,False,2024
9655,Race,Race,2024-12-01T16:00:00+00:00,2024-12-01T18:00:00+00:00,1251,150,Lusail,149,QAT,Qatar,Lusail,03:00:00,2024,False,2024
9662,Race,Race,2024-12-08T13:00:00+00:00,2024-12-08T15:00:00+00:00,1252,70,Yas Marina Circuit,21,UAE,United Arab Emirates,Yas Island,04:00:00,2024,False,2024
9693,Race,Race,2025-03-16T04:00:00+00:00,2025-03-16T06:00:00+00:00,1254,10,Melbourne,5,AUS,Australia,Melbourne,11:00:00,2025,False,2025
9998,Race,Race,2025-03-23T07:00:00+00:00,2025-03-23T09:00:00+00:00,1255,49,Shanghai,53,CHN,China,Shanghai,08:00:00,2025,False,2025
10006,Race,Race,2025-04-06T05:00:00+00:00,2025-04-06T07:00:00+00:00,1256,46,Suzuka,4,JPN,Japan,Suzuka,09:00:00,2025,False,2025
10014,Race,Race,2025-04-13T15:00:00+00:00,2025-04-13T17:00:00+00:00,1257,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2025,False,2025
10022,Race,Race,2025-04-20T17:00:00+00:00,2025-04-20T19:00:00+00:00,1258,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2025,False,2025
10033,Race,Race,2025-05-04T20:00:00+00:00,2025-05-04T22:00:00+00:00,1259,151,Miami,19,USA,United States,Miami Gardens,-04:00:00,2025,False,2025
9987,Race,Race,2025-05-18T13:00:00+00:00,2025-05-18T15:00:00+00:00,1260,6,Imola,13,ITA,Italy,Imola,02:00:00,2025,False,2025
9979,Race,Race,2025-05-25T13:00:00+00:00,2025-05-25T15:00:00+00:00,1261,22,Monte Carlo,114,MON,Monaco,Monaco,02:00:00,2025,False,2025
9971,Race,Race,2025-06-01T13:00:00+00:00,2025-06-01T15:00:00+00:00,1262,15,Catalunya,1,ESP,Spain,Barcelona,02:00:00,2025,False,2025
9963,Race,Race,2025-06-15T18:00:00+00:00,2025-06-15T20:00:00+00:00,1263,23,Montreal,46,CAN,Canada,Montréal,-04:00:00,2025,False,2025
9955,Race,Race,2025-06-29T13:00:00+00:00,2025-06-29T15:00:00+00:00,1264,19,Spielberg,17,AUT,Austria,Spielberg,02:00:00,2025,False,2025
9947,Race,Race,2025-07-06T14:00:00+00:00,2025-07-06T16:00:00+00:00,1277,2,Silverstone,2,GBR,United Kingdom,Silverstone,01:00:00,2025,False,2025
9939,Race,Race,2025-07-27T13:00:00+00:00,2025-07-27T15:00:00+00:00,1265,7,Spa-Francorchamps,16,BEL,Belgium,Spa-Francorchamps,02:00:00,2025,False,2025
9928,Race,Race,2025-08-03T13:00:00+00:00,2025-08-03T15:00:00+00:00,1266,4,Hungaroring,14,HUN,Hungary,Budapest,02:00:00,2025,False,2025
9920,Race,Race,2025-08-31T13:00:00+00:00,2025-08-31T15:00:00+00:00,1267,55,Zandvoort,133,NED,Netherlands,Zandvoort,02:00:00,2025,False,2025
9912,Race,Race,2025-09-07T13:00:00+00:00,2025-09-07T15:00:00+00:00,1268,39,Monza,13,ITA,Italy,Monza,02:00:00,2025,False,2025
9904,Race,Race,2025-09-21T11:00:00+00:00,2025-09-21T13:00:00+00:00,1269,144,Baku,30,AZE,Azerbaijan,Baku,04:00:00,2025,False,2025
9896,Race,Race,2025-10-05T12:00:00+00:00,2025-10-05T14:00:00+00:00,1270,61,Singapore,157,SGP,Singapore,Marina Bay,08:00:00,2025,False,2025
9888,Race,Race,2025-10-19T19:00:00+00:00,2025-10-19T21:00:00+00:00,1271,9,Austin,19,USA,United States,Austin,-05:00:00,2025,False,2025
9877,Race,Race,2025-10-26T20:00:00+00:00,2025-10-26T22:00:00+00:00,1272,65,Mexico City,8,MEX,Mexico,Mexico City,-06:00:00,2025,False,2025
9869,Race,Race,2025-11-09T17:00:00+00:00,2025-11-09T19:00:00+00:00,1273,14,Interlagos,10,BRA,Brazil,São Paulo,-03:00:00,2025,False,2025
9858,Race,Race,2025-11-23T04:00:00+00:00,2025-11-23T06:00:00+00:00,1274,152,Las Vegas,19,USA,United States,Las Vegas,-08:00:00,2025,False,2025
9850,Race,Race,2025-11-30T16:00:00+00:00,2025-11-30T18:00:00+00:00,1275,150,Lusail,149,QAT,Qatar,Lusail,03:00:00,2025,False,2025
9839,Race,Race,2025-12-07T13:00:00+00:00,2025-12-07T15:00:00+00:00,1276,70,Yas Marina Circuit,21,UAE,United Arab Emirates,Yas Island,04:00:00,2025,False,2025
