session_key,session_type,session_name,date_start_utc,date_end_utc,meeting_key,circuit_key,circuit_short_name,country_key,country_code,country_name,location,gmt_offset,year,is_cancelled,season,meeting_name,country_name_meeting,location_meeting,year_meeting,race_id
9939,Race,Race,2025-07-27T13:00:00+00:00,2025-07-27T15:00:00+00:00,1265,7,Spa-Francorchamps,16,BEL,Belgium,Spa-Francorchamps,02:00:00,2025,False,2025,Belgian Grand Prix,Belgium,Spa-Francorchamps,2025,9939
9928,Race,Race,2025-08-03T13:00:00+00:00,2025-08-03T15:00:00+00:00,1266,4,Hungaroring,14,HUN,Hungary,Budapest,02:00:00,2025,False,2025,Hungarian Grand Prix,Hungary,Budapest,2025,9928
9920,Race,Race,2025-08-31T13:00:00+00:00,2025-08-31T15:00:00+00:00,1267,55,Zandvoort,133,NED,Netherlands,Zandvoort,02:00:00,2025,False,2025,Dutch Grand Prix,Netherlands,Zandvoort,2025,9920
9912,Race,Race,2025-09-07T13:00:00+00:00,2025-09-07T15:00:00+00:00,1268,39,Monza,13,ITA,Italy,Monza,02:00:00,2025,False,2025,Italian Grand Prix,Italy,Monza,2025,9912
9904,Race,Race,2025-09-21T11:00:00+00:00,2025-09-21T13:00:00+00:00,1269,144,Baku,30,AZE,Azerbaijan,Baku,04:00:00,2025,False,2025,Azerbaijan Grand Prix,Azerbaijan,Baku,2025,9904
9896,Race,Race,2025-10-05T12:00:00+00:00,2025-10-05T14:00:00+00:00,1270,61,Singapore,157,SGP,Singapore,Marina Bay,08:00:00,2025,False,2025,Singapore Grand Prix,Singapore,Marina Bay,2025,9896
9888,Race,Race,2025-10-19T19:00:00+00:00,2025-10-19T21:00:00+00:00,1271,9,Austin,19,USA,United States,Austin,-05:00:00,2025,False,2025,United States Grand Prix,United States,Austin,2025,9888
9877,Race,Race,2025-10-26T20:00:00+00:00,2025-10-26T22:00:00+00:00,1272,65,Mexico City,8,MEX,Mexico,Mexico City,-06:00:00,2025,False,2025,Mexico City Grand Prix,Mexico,Mexico City,2025,9877
9869,Race,Race,2025-11-09T17:00:00+00:00,2025-11-09T19:00:00+00:00,1273,14,Interlagos,10,BRA,Brazil,São Paulo,-03:00:00,2025,False,2025,São Paulo Grand Prix,Brazil,São Paulo,2025,9869
9858,Race,Race,2025-11-23T04:00:00+00:00,2025-11-23T06:00:00+00:00,1274,152,Las Vegas,19,USA,United States,Las Vegas,-08:00:00,2025,False,2025,Las Vegas Grand Prix,United States,Las Vegas,2025,9858
9850,Race,Race,2025-11-30T16:00:00+00:00,2025-11-30T18:00:00+00:00,1275,150,Lusail,149,QAT,Qatar,Lusail,03:00:00,2025,False,2025,Qatar Grand Prix,Qatar,Lusail,2025,9850
9839,Race,Race,2025-12-07T13:00:00+00:00,2025-12-07T15:00:00+00:00,1276,70,Yas Marina Circuit,21,UAE,United Arab Emirates,Yas Island,04:00:00,2025,False,2025,Abu Dhabi Grand Prix,United Arab Emirates,Yas Island,2025,9839
